trial_id,experiment,trial_type,item,root_type,adverb_type,polarity,condition,subject,argument_or_adjunct,target,verb,sentence,subject_gloss,argument_gloss,target_gloss,verb_gloss
exp3_i14_nonideophonic_temporal_negative,experiment_3,experimental,14,nonideophonic,temporal,negative,nonideophonic__temporal__negative,Atlet,bitiş çizgisine,vaktinde,ulaşmadı,Atlet bitiş çizgisine vaktinde ulaşmadı.,athlete,finish line,on time,arrive-NOT
exp3_i15_nonideophonic_converbial_affirmative,experiment_3,experimental,15,nonideophonic,converbial,affirmative,nonideophonic__converbial__affirmative,Kız,okula,koşarak,geldi,Kız okula koşarak geldi.,girl,school,running,come
exp3_i15_nonideophonic_converbial_negative,experiment_3,experimental,15,nonideophonic,converbial,negative,nonideophonic__converbial__negative,Kız,okula,koşarak,gelmedi,Kız okula koşarak gelmedi.,girl,school,running,come-NOT
exp3_i15_nonideophonic_reduplication_affirmative,experiment_3,experimental,15,nonideophonic,reduplication,affirmative,nonideophonic__reduplication__affirmative,Kız,okula,koşa koşa,geldi,Kız okula koşa koşa geldi.,girl,school,running,come
exp3_i15_nonideophonic_reduplication_negative,experiment_3,experimental,15,nonideophonic,reduplication,negative,nonideophonic__reduplication__negative,Kız,okula,koşa koşa,gelmedi,Kız okula koşa koşa gelmedi.,girl,school,running,come-NOT
exp3_i15_nonideophonic_manner_affirmative,experiment_3,experimental,15,nonideophonic,manner,affirmative,nonideophonic__manner__affirmative,Kız,okula,hızlıca,geldi,Kız okula hızlıca geldi.,girl,school,fast,come
exp3_i15_nonideophonic_manner_negative,experiment_3,experimental,15,nonideophonic,manner,negative,nonideophonic__manner__negative,Kız,okula,hızlıca,gelmedi,Kız okula hızlıca gelmedi.,girl,school,fast,come-NOT
exp3_i15_nonideophonic_temporal_affirmative,experiment_3,experimental,15,nonideophonic,temporal,affirmative,nonideophonic__temporal__affirmative,Kız,okula,saat yedide,geldi,Kız okula saat yedide geldi.,girl,school,seven o’clock,come
exp3_i15_nonideophonic_temporal_negative,experiment_3,experimental,15,nonideophonic,temporal,negative,nonideophonic__temporal__negative,Kız,okula,saat yedide,gelmedi,Kız okula saat yedide gelmedi.,girl,school,seven o’clock,come-NOT
exp3_i16_nonideophonic_converbial_affirmative,experiment_3,experimental,16,nonideophonic,converbial,affirmative,nonideophonic__converbial__affirmative,İşçi,binaya,aksayarak,girdi,İşçi binaya aksayarak girdi.,worker,building,limping,enter
exp3_i16_nonideophonic_converbial_negative,experiment_3,experimental,16,nonideophonic,converbial,negative,nonideophonic__converbial__negative,İşçi,binaya,aksayarak,girmedi,İşçi binaya aksayarak girmedi.,worker,building,limping,enter-NOT
exp3_i16_nonideophonic_reduplication_affirmative,experiment_3,experimental,16,nonideophonic,reduplication,affirmative,nonideophonic__reduplication__affirmative,İşçi,binaya,aksaya aksaya,girdi,İşçi binaya aksaya aksaya girdi.,worker,building,limping,enter
exp3_i16_nonideophonic_reduplication_negative,experiment_3,experimental,16,nonideophonic,reduplication,negative,nonideophonic__reduplication__negative,İşçi,binaya,aksaya aksaya,girmedi,İşçi binaya aksaya aksaya girmedi.,worker,building,limping,enter-NOT
exp3_i16_nonideophonic_manner_affirmative,experiment_3,experimental,16,nonideophonic,manner,affirmative,nonideophonic__manner__affirmative,İşçi,binaya,yavaşça,girdi,İşçi binaya yavaşça girdi.,worker,building,slowly,enter
exp3_i16_nonideophonic_manner_negative,experiment_3,experimental,16,nonideophonic,manner,negative,nonideophonic__manner__negative,İşçi,binaya,yavaşça,girmedi,İşçi binaya yavaşça girmedi.,worker,building,slowly,enter-NOT
exp3_i16_nonideophonic_temporal_affirmative,experiment_3,experimental,16,nonideophonic,temporal,affirmative,nonideophonic__temporal__affirmative,İşçi,binaya,saat onda,girdi,İşçi binaya saat onda girdi.,worker,building,ten o’clock,enter
exp3_i16_nonideophonic_temporal_negative,experiment_3,experimental,16,nonideophonic,temporal,negative,nonideophonic__temporal__negative,İşçi,binaya,saat onda,girmedi,İşçi binaya saat onda girmedi.,worker,building,ten o’clock,enter-NOT
